FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2022-02-01,AA,MIA,RDU,840,836,-4,13,849,1032,4,1049,1036,-13,0,,0,129,120,NA,NA,NA,NA,NA
2022-02-01,AA,MIA,RDU,1408,1435,27,13,1448,1627,7,1618,1634,16,0,,0,130,119,0,0,0,0,16
2022-02-01,AA,MIA,RDU,1545,1538,-7,13,1551,1734,7,1756,1741,-15,0,,0,131,123,NA,NA,NA,NA,NA
2022-02-01,AA,MIA,RDU,1910,1911,1,13,1924,2101,10,2117,2111,-6,0,,0,127,120,NA,NA,NA,NA,NA
2022-02-01,AA,MIA,RDU,2000,2010,10,34,2044,2224,8,2223,2232,9,0,,0,143,142,NA,NA,NA,NA,NA
2022-02-01,AA,MIA,RDU,2111,2106,-5,26,2132,2313,12,2329,2325,-4,0,,0,138,139,NA,NA,NA,NA,NA
2022-02-01,AA,RDU,MIA,600,554,-6,33,627,820,7,811,827,16,0,,0,131,153,0,0,16,0,0
2022-02-01,AA,RDU,MIA,721,710,-11,39,749,932,6,935,938,3,0,,0,134,148,NA,NA,NA,NA,NA
2022-02-01,AA,RDU,MIA,856,855,-1,32,927,1105,5,1110,1110,0,0,,0,134,135,NA,NA,NA,NA,NA
2022-02-01,AA,RDU,MIA,1131,1125,-6,16,1141,1323,6,1339,1329,-10,0,,0,128,124,NA,NA,NA,NA,NA
2022-02-01,AA,RDU,MIA,1708,1717,9,9,1726,1910,18,1928,1928,0,0,,0,140,131,NA,NA,NA,NA,NA
2022-02-01,AA,RDU,MIA,1836,1821,-15,16,1837,2020,36,2050,2056,6,0,,0,134,155,NA,NA,NA,NA,NA
2022-02-01,DL,MIA,RDU,1649,1642,-7,13,1655,1833,9,1850,1842,-8,0,,0,121,120,NA,NA,NA,NA,NA
2022-02-01,DL,RDU,MIA,1330,1322,-8,11,1333,1517,5,1541,1522,-19,0,,0,131,120,NA,NA,NA,NA,NA
2022-02-02,AA,MIA,RDU,840,834,-6,15,849,1037,3,1049,1040,-9,0,,0,129,126,NA,NA,NA,NA,NA
2022-02-02,AA,MIA,RDU,1408,1401,-7,25,1426,1607,8,1618,1615,-3,0,,0,130,134,NA,NA,NA,NA,NA
2022-02-02,AA,MIA,RDU,1545,1619,34,24,1643,1832,3,1756,1835,39,0,,0,131,136,34,0,5,0,0
2022-02-02,AA,MIA,RDU,1910,1906,-4,35,1941,2128,6,2117,2134,17,0,,0,127,148,0,0,17,0,0
2022-02-02,AA,MIA,RDU,2000,1953,-7,66,2059,2246,5,2223,2251,28,0,,0,143,178,0,0,28,0,0
2022-02-02,AA,MIA,RDU,2111,2112,1,35,2147,2336,3,2329,2339,10,0,,0,138,147,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,600,549,-11,36,625,802,5,811,807,-4,0,,0,131,138,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,721,711,-10,12,723,909,7,935,916,-19,0,,0,134,125,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,856,850,-6,13,903,1045,8,1110,1053,-17,0,,0,134,123,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,1131,1125,-6,10,1135,1313,8,1339,1321,-18,0,,0,128,116,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,1708,1658,-10,13,1711,1848,13,1928,1901,-27,0,,0,140,123,NA,NA,NA,NA,NA
2022-02-02,AA,RDU,MIA,1836,1904,28,13,1917,2049,45,2050,2134,44,0,,0,134,150,0,0,16,0,28
2022-02-02,DL,MIA,RDU,1649,1855,126,36,1931,2118,4,1850,2122,152,0,,0,121,147,0,0,26,0,126
2022-02-02,DL,RDU,MIA,1330,1608,158,15,1623,1757,11,1541,1808,147,0,,0,131,120,0,0,0,0,147
2022-02-03,AA,MIA,RDU,849,848,-1,25,913,1058,4,1056,1102,6,0,,0,127,134,NA,NA,NA,NA,NA
2022-02-03,AA,MIA,RDU,1408,1405,-3,15,1420,1601,3,1616,1604,-12,0,,0,128,119,NA,NA,NA,NA,NA
2022-02-03,AA,MIA,RDU,1545,1540,-5,9,1549,1729,3,1746,1732,-14,0,,0,121,112,NA,NA,NA,NA,NA
2022-02-03,AA,MIA,RDU,1904,1916,12,17,1933,2112,4,2107,2116,9,0,,0,123,120,NA,NA,NA,NA,NA
2022-02-03,AA,MIA,RDU,2000,2038,38,22,2100,2239,5,2215,2244,29,0,,0,135,126,0,0,0,0,29
2022-02-03,AA,MIA,RDU,2111,2107,-4,15,2122,2303,4,2319,2307,-12,0,,0,128,120,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,538,531,-7,13,544,726,5,750,731,-19,0,,0,132,120,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,719,714,-5,16,730,909,11,929,920,-9,0,,0,130,126,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,855,854,-1,16,910,1052,8,1107,1100,-7,0,,0,132,126,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,1146,1157,11,18,1215,1356,8,1354,1404,10,0,,0,128,127,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,1706,1702,-4,12,1714,1902,30,1926,1932,6,0,,0,140,150,NA,NA,NA,NA,NA
2022-02-03,AA,RDU,MIA,1836,1828,-8,12,1840,2024,69,2047,2133,46,0,,0,131,185,0,0,46,0,0
2022-02-03,DL,MIA,RDU,1649,1639,-10,14,1653,1834,3,1850,1837,-13,0,,0,121,118,NA,NA,NA,NA,NA
2022-02-03,DL,RDU,MIA,1330,1331,1,12,1343,1526,5,1541,1531,-10,0,,0,131,120,NA,NA,NA,NA,NA
2022-02-03,NK,MIA,RDU,1421,1420,-1,14,1434,1618,6,1633,1624,-9,0,,0,132,124,NA,NA,NA,NA,NA
2022-02-03,NK,RDU,MIA,1759,1758,-1,12,1810,1952,14,2011,2006,-5,0,,0,132,128,NA,NA,NA,NA,NA
2022-02-04,AA,MIA,RDU,849,950,61,13,1003,1142,3,1056,1145,49,0,,0,127,115,0,0,0,0,49
2022-02-04,AA,MIA,RDU,1408,1400,-8,14,1414,1556,10,1616,1606,-10,0,,0,128,126,NA,NA,NA,NA,NA
2022-02-04,AA,MIA,RDU,1545,1542,-3,14,1556,1732,3,1746,1735,-11,0,,0,121,113,NA,NA,NA,NA,NA
2022-02-04,AA,MIA,RDU,1904,NA,NA,NA,NA,NA,NA,2107,NA,NA,1,A,0,123,NA,NA,NA,NA,NA,NA
2022-02-04,AA,MIA,RDU,2000,NA,NA,NA,NA,NA,NA,2215,NA,NA,1,A,0,135,NA,NA,NA,NA,NA,NA
2022-02-04,AA,MIA,RDU,2111,2244,93,14,2258,35,3,2319,38,79,0,,0,128,114,48,0,0,0,31
2022-02-04,AA,RDU,MIA,538,535,-3,18,553,735,6,750,741,-9,0,,0,132,126,NA,NA,NA,NA,NA
2022-02-04,AA,RDU,MIA,719,757,38,21,818,1015,10,929,1025,56,0,,0,130,148,38,0,18,0,0
2022-02-04,AA,RDU,MIA,856,856,0,17,913,1055,5,1108,1100,-8,0,,0,132,124,NA,NA,NA,NA,NA
2022-02-04,AA,RDU,MIA,1146,1236,50,12,1248,1432,5,1354,1437,43,0,,0,128,121,0,0,1,0,42
2022-02-04,AA,RDU,MIA,1706,1745,39,15,1800,1943,147,1926,2210,164,0,,0,140,265,0,0,164,0,0
2022-02-04,AA,RDU,MIA,1836,1845,9,13,1858,2045,97,2047,2222,95,0,,0,131,217,9,0,86,0,0
2022-02-04,DL,MIA,RDU,1649,1646,-3,14,1700,1837,22,1850,1859,9,0,,0,121,133,NA,NA,NA,NA,NA
2022-02-04,DL,RDU,MIA,1330,1325,-5,10,1335,1518,5,1541,1523,-18,0,,0,131,118,NA,NA,NA,NA,NA
2022-02-04,NK,MIA,RDU,1421,1426,5,13,1439,1619,5,1633,1624,-9,0,,0,132,118,NA,NA,NA,NA,NA
2022-02-04,NK,RDU,MIA,1759,1758,-1,12,1810,1954,8,2011,2002,-9,0,,0,132,124,NA,NA,NA,NA,NA
2022-02-05,AA,MIA,RDU,849,NA,NA,NA,NA,NA,NA,1056,NA,NA,1,A,0,127,NA,NA,NA,NA,NA,NA
2022-02-05,AA,MIA,RDU,1408,1401,-7,12,1413,1547,4,1616,1551,-25,0,,0,128,110,NA,NA,NA,NA,NA
2022-02-05,AA,MIA,RDU,1904,NA,NA,NA,NA,NA,NA,2107,NA,NA,1,A,0,123,NA,NA,NA,NA,NA,NA
2022-02-05,AA,MIA,RDU,2000,2117,77,15,2132,2305,5,2215,2310,55,0,,0,135,113,55,0,0,0,0
2022-02-05,AA,MIA,RDU,2111,NA,NA,NA,NA,NA,NA,2319,NA,NA,1,A,0,128,NA,NA,NA,NA,NA,NA
2022-02-05,AA,RDU,MIA,538,NA,NA,NA,NA,NA,NA,750,NA,NA,1,A,0,132,NA,NA,NA,NA,NA,NA
2022-02-05,AA,RDU,MIA,719,NA,NA,NA,NA,NA,NA,929,NA,NA,1,A,0,130,NA,NA,NA,NA,NA,NA
