FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2021 12:00:00 AM,9E,ATL,AVL,0823,0820,-3.00,15.00,0835,0911,4.00,0924,0915,-9.00,0.00,,0.00,61.00,55.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,AVL,1130,1127,-3.00,7.00,1134,1213,3.00,1229,1216,-13.00,0.00,,0.00,59.00,49.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,AVL,1400,1359,-1.00,12.00,1411,1448,3.00,1456,1451,-5.00,0.00,,0.00,56.00,52.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,AVL,1740,1735,-5.00,14.00,1749,1825,2.00,1839,1827,-12.00,0.00,,0.00,59.00,52.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,FAY,1000,1000,0.00,14.00,1014,1100,5.00,1113,1105,-8.00,0.00,,0.00,73.00,65.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,FAY,1750,1746,-4.00,12.00,1758,1859,6.00,1907,1905,-2.00,0.00,,0.00,77.00,79.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,GSO,1017,1034,17.00,23.00,1057,1142,3.00,1129,1145,16.00,0.00,,0.00,72.00,71.00,16.00,0.00,0.00,0.00,0.00
1/1/2021 12:00:00 AM,9E,ATL,GSO,1216,1211,-5.00,13.00,1224,1310,3.00,1325,1313,-12.00,0.00,,0.00,69.00,62.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,GSO,1546,1700,74.00,10.00,1710,1755,5.00,1655,1800,65.00,0.00,,0.00,69.00,60.00,4.00,0.00,0.00,0.00,61.00
1/1/2021 12:00:00 AM,9E,ATL,GSO,2100,2055,-5.00,19.00,2114,2158,2.00,2212,2200,-12.00,0.00,,0.00,72.00,65.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,ILM,1020,1020,0.00,15.00,1035,1125,4.00,1140,1129,-11.00,0.00,,0.00,80.00,69.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,ILM,1520,1515,-5.00,14.00,1529,1630,5.00,1639,1635,-4.00,0.00,,0.00,79.00,80.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,ILM,2105,2102,-3.00,15.00,2117,2218,4.00,2224,2222,-2.00,0.00,,0.00,79.00,80.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,OAJ,1040,1100,20.00,20.00,1120,1211,2.00,1200,1213,13.00,0.00,,0.00,80.00,73.00,,,,,
1/1/2021 12:00:00 AM,9E,ATL,OAJ,1803,1803,0.00,20.00,1823,1919,3.00,1925,1922,-3.00,0.00,,0.00,82.00,79.00,,,,,
1/1/2021 12:00:00 AM,9E,AVL,ATL,0700,0700,0.00,14.00,0714,0755,6.00,0807,0801,-6.00,0.00,,0.00,67.00,61.00,,,,,
1/1/2021 12:00:00 AM,9E,AVL,ATL,1015,1012,-3.00,12.00,1024,1103,7.00,1119,1110,-9.00,0.00,,0.00,64.00,58.00,,,,,
1/1/2021 12:00:00 AM,9E,AVL,ATL,1320,1318,-2.00,10.00,1328,1405,4.00,1428,1409,-19.00,0.00,,0.00,68.00,51.00,,,,,
1/1/2021 12:00:00 AM,9E,AVL,ATL,1546,1544,-2.00,10.00,1554,1633,5.00,1655,1638,-17.00,0.00,,0.00,69.00,54.00,,,,,
1/1/2021 12:00:00 AM,9E,DTW,RDU,1230,1225,-5.00,26.00,1251,1413,5.00,1416,1418,2.00,0.00,,0.00,106.00,113.00,,,,,
1/1/2021 12:00:00 AM,9E,FAY,ATL,0600,0559,-1.00,16.00,0615,0722,5.00,0730,0727,-3.00,0.00,,0.00,90.00,88.00,,,,,
1/1/2021 12:00:00 AM,9E,FAY,ATL,1203,1200,-3.00,13.00,1213,1314,7.00,1332,1321,-11.00,0.00,,0.00,89.00,81.00,,,,,
1/1/2021 12:00:00 AM,9E,FLL,RDU,1040,1033,-7.00,10.00,1043,1212,4.00,1242,1216,-26.00,0.00,,0.00,122.00,103.00,,,,,
1/1/2021 12:00:00 AM,9E,FLL,RDU,1655,1648,-7.00,29.00,1717,1854,8.00,1857,1902,5.00,0.00,,0.00,122.00,134.00,,,,,
1/1/2021 12:00:00 AM,9E,GSO,ATL,0600,0557,-3.00,12.00,0609,0708,6.00,0729,0714,-15.00,0.00,,0.00,89.00,77.00,,,,,
1/1/2021 12:00:00 AM,9E,GSO,ATL,0845,0845,0.00,8.00,0853,0953,8.00,1016,1001,-15.00,0.00,,0.00,91.00,76.00,,,,,
1/1/2021 12:00:00 AM,9E,GSO,ATL,1225,1221,-4.00,12.00,1233,1329,4.00,1347,1333,-14.00,0.00,,0.00,82.00,72.00,,,,,
1/1/2021 12:00:00 AM,9E,GSO,ATL,1530,1524,-6.00,22.00,1546,1650,8.00,1657,1658,1.00,0.00,,0.00,87.00,94.00,,,,,
1/1/2021 12:00:00 AM,9E,ILM,ATL,0700,0651,-9.00,17.00,0708,0826,5.00,0838,0831,-7.00,0.00,,0.00,98.00,100.00,,,,,
1/1/2021 12:00:00 AM,9E,ILM,ATL,1230,1225,-5.00,9.00,1234,1340,5.00,1403,1345,-18.00,0.00,,0.00,93.00,80.00,,,,,
1/1/2021 12:00:00 AM,9E,ILM,ATL,1730,1725,-5.00,7.00,1732,1844,5.00,1904,1849,-15.00,0.00,,0.00,94.00,84.00,,,,,
1/1/2021 12:00:00 AM,9E,JFK,RDU,0950,0946,-4.00,17.00,1003,1121,3.00,1132,1124,-8.00,0.00,,0.00,102.00,98.00,,,,,
